day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall
93,1016.0,26.3,23.9,22.2,20.4,90.0,88.0,0.7,30.0,28.5,1
94,1015.0,26.2,24.9,22.2,19.8,92.0,85.0,0.2,80.0,28.0,1
95,1011.4,26.8,24.4,23.6,22.6,91.0,80.0,1.0,220.0,34.2,1
96,1009.2,28.2,26.7,25.3,23.1,87.0,86.0,0.3,100.0,12.0,0
97,1008.6,29.1,26.6,25.4,24.2,93.0,85.0,0.9,220.0,19.0,1
98,1011.4,28.2,24.8,22.3,23.7,84.0,85.0,2.4,90.0,14.7,1
99,1015.2,25.9,23.4,22.8,21.2,81.0,81.0,3.9,290.0,21.2,1
100,1017.1,26.9,25.8,25.4,19.7,78.0,85.0,0.3,70.0,18.2,1
101,1013.0,28.6,26.7,24.3,23.2,87.0,83.0,2.2,70.0,24.0,1
102,1016.8,29.6,25.8,23.3,22.1,86.0,83.0,3.5,30.0,9.8,1
103,1013.4,30.2,26.8,24.8,23.4,85.0,78.0,2.1,70.0,24.9,1
104,1015.8,29.6,26.5,23.7,23.2,86.0,83.0,3.9,170.0,24.4,0
105,1008.3,28.9,26.9,24.3,24.8,87.0,82.0,1.6,200.0,23.7,1
106,1008.9,28.0,27.8,25.2,25.2,89.0,88.0,0.4,70.0,34.2,1
107,1010.3,30.2,26.9,24.2,22.7,84.0,84.0,2.2,230.0,15.1,1
108,1008.9,31.2,28.0,24.7,25.0,81.0,88.0,0.6,240.0,28.4,1
109,1011.4,27.6,25.5,24.4,24.8,79.0,80.0,4.5,60.0,12.4,1
110,1010.1,30.6,28.1,26.8,25.1,89.0,89.0,2.0,130.0,21.4,1
111,1010.9,30.6,28.7,26.3,25.3,86.0,84.0,2.3,270.0,18.8,1
112,1009.8,28.7,25.4,23.9,22.1,87.0,84.0,2.9,40.0,14.5,1
113,1011.4,26.2,24.0,22.4,23.4,82.0,83.0,2.1,70.0,11.9,1
114,1009.8,28.7,26.7,25.3,24.3,84.0,87.0,0.6,90.0,15.7,1
115,1008.3,31.0,28.6,26.9,24.9,81.0,83.0,3.0,220.0,9.2,1
116,1008.8,29.7,25.8,24.2,22.6,89.0,88.0,1.3,20.0,28.8,1
117,1012.2,25.8,23.7,22.4,22.3,89.0,81.0,1.2,80.0,39.5,1
118,1011.1,28.2,25.5,23.3,19.3,82.0,81.0,4.3,40.0,31.8,0
119,1013.5,27.3,25.5,23.3,20.6,73.0,64.0,6.3,120.0,29.6,0
120,1007.9,31.2,28.1,26.4,24.3,85.0,90.0,3.9,130.0,23.3,1
121,1006.8,31.0,28.1,26.8,25.0,84.0,84.0,2.6,220.0,14.5,1
122,1005.9,29.2,27.4,25.5,24.0,89.0,88.0,1.2,130.0,15.8,1
123,1009.5,30.9,27.1,26.3,24.0,89.0,88.0,1.4,230.0,15.1,1
124,1010.9,29.8,26.5,24.3,23.3,83.0,85.0,3.5,190.0,14.2,1
125,1012.0,26.4,24.9,23.2,21.7,84.0,82.0,0.3,70.0,14.0,1
126,1012.5,27.9,25.8,24.4,23.1,82.0,88.0,1.6,80.0,39.3,1
127,1008.8,31.0,28.1,26.2,25.0,81.0,80.0,3.7,80.0,20.5,1
128,1011.4,30.7,27.9,26.4,25.6,89.0,89.0,1.2,200.0,22.5,1
129,1009.5,30.1,28.9,26.3,24.3,84.0,70.0,3.3,230.0,15.3,1
130,1011.2,31.6,28.7,26.3,25.4,81.0,88.0,0.1,200.0,26.1,1
131,1008.7,31.4,28.2,26.1,25.1,82.0,75.0,9.1,120.0,21.8,0
132,1012.4,31.3,28.8,26.1,22.7,81.0,87.0,2.1,20.0,19.2,1
133,1008.3,33.0,30.1,28.0,25.1,75.0,68.0,10.0,230.0,19.3,1
134,1005.9,31.0,28.8,27.3,20.7,77.0,59.0,7.5,70.0,9.8,0
135,1009.3,32.3,30.2,27.4,25.9,86.0,88.0,0.6,220.0,13.4,1
136,1006.6,32.0,29.4,27.6,26.0,89.0,88.0,2.5,200.0,26.4,1
137,1008.5,32.2,29.0,27.0,25.3,79.0,79.0,7.0,220.0,16.4,1
138,1006.6,32.3,29.6,28.7,25.7,84.0,77.0,6.3,220.0,15.4,1
139,1008.4,32.6,29.7,26.4,25.7,81.0,69.0,7.8,220.0,34.0,1
140,1008.0,32.8,29.9,26.7,26.7,89.0,74.0,6.1,230.0,15.8,1
141,1007.6,32.7,29.0,27.0,26.0,76.0,46.0,10.0,220.0,9.4,0
142,1009.1,32.8,30.0,26.4,25.2,74.0,28.0,11.1,220.0,19.0,0
143,1008.5,30.4,27.4,25.3,24.2,74.0,57.0,9.1,220.0,11.9,0
144,1005.2,31.5,28.3,26.9,25.8,87.0,83.0,6.9,60.0,14.1,1
145,1008.7,33.0,30.2,28.4,25.7,78.0,53.0,10.0,220.0,10.9,0
146,1008.7,32.1,29.8,27.5,25.5,81.0,83.0,3.0,130.0,52.8,1
147,1005.6,32.8,29.0,27.0,25.0,74.0,38.0,11.9,200.0,8.3,0
148,1008.5,33.3,30.1,28.0,24.3,79.0,69.0,10.7,220.0,7.9,0
149,1010.3,31.2,28.1,25.8,23.1,79.0,49.0,9.8,20.0,14.5,0
150,1006.4,34.0,30.1,28.4,25.8,77.0,23.0,10.4,240.0,15.7,0
151,1009.8,34.4,30.1,28.8,24.7,74.0,29.0,11.4,200.0,12.6,1
152,1008.9,34.0,30.6,26.7,25.9,81.0,79.0,4.8,220.0,25.0,1
153,1006.6,33.2,30.8,28.0,25.3,77.0,29.0,11.0,230.0,14.5,0
154,1009.4,32.0,29.0,27.0,24.5,76.0,44.0,10.7,220.0,40.8,0
155,1006.8,31.9,29.3,26.2,24.2,81.0,77.0,6.7,210.0,7.9,1
156,1008.7,32.9,29.1,27.1,25.3,78.0,78.0,9.1,240.0,19.0,1
157,1005.9,34.7,30.1,28.5,25.4,79.0,88.0,0.4,50.0,15.3,1
158,1008.1,31.7,28.9,26.2,25.8,81.0,78.0,4.6,230.0,21.9,1
159,1009.5,30.8,28.9,27.4,25.1,86.0,67.0,5.7,110.0,11.1,1
160,1008.4,32.6,30.7,28.4,25.4,86.0,78.0,2.3,230.0,14.1,1
161,1008.1,31.7,29.5,27.5,25.5,84.0,63.0,8.9,130.0,14.0,0
162,1007.5,32.0,30.1,29.0,25.6,84.0,88.0,1.5,220.0,29.2,1
163,1006.6,31.0,29.3,27.1,25.3,79.0,77.0,4.6,220.0,13.9,1
164,1006.9,32.2,29.0,27.6,25.3,82.0,78.0,6.6,220.0,14.5,1
165,1009.9,32.6,29.7,27.4,26.1,79.0,73.0,9.4,210.0,31.9,1
166,1007.9,33.0,30.1,27.8,25.8,78.0,67.0,10.6,220.0,14.5,1
167,1008.4,31.2,29.0,27.2,25.3,90.0,77.0,2.7,130.0,9.1,1
168,1007.2,33.2,29.6,26.9,25.0,85.0,88.0,2.4,240.0,25.1,1
169,1002.5,33.5,30.0,27.8,26.0,89.0,88.0,2.0,220.0,10.9,1
170,1006.3,29.1,27.9,26.6,25.8,89.0,88.0,0.5,230.0,20.9,1
171,1003.8,33.1,30.1,27.1,26.1,80.0,83.0,0.5,220.0,27.9,1
172,1002.8,33.7,30.0,26.1,24.7,89.0,78.0,2.1,220.0,9.2,1
173,1009.9,35.2,30.0,28.5,24.7,78.0,44.0,10.1,240.0,12.4,1
174,1006.8,31.6,29.2,27.3,25.3,86.0,86.0,1.0,80.0,31.2,1
175,1009.3,31.2,28.1,26.2,25.3,78.0,47.0,9.1,200.0,17.2,0
176,1007.5,32.8,30.1,28.0,25.6,79.0,72.0,7.1,220.0,30.3,0
177,1008.6,32.9,29.7,27.4,25.8,91.0,87.0,0.2,230.0,26.3,1
178,1008.4,32.0,29.4,27.5,26.2,82.0,84.0,6.4,230.0,16.9,1
179,1007.9,30.6,28.4,26.7,25.8,82.0,84.0,1.3,200.0,14.5,1
180,1006.8,31.2,29.0,26.1,25.4,80.0,88.0,1.2,190.0,26.4,1
181,1008.4,29.0,28.2,26.8,25.0,84.0,88.0,0.5,190.0,19.8,1
182,1010.6,31.1,28.9,26.7,25.6,84.0,84.0,4.4,190.0,16.5,1
183,1008.8,30.3,28.4,26.8,25.4,79.0,88.0,0.3,230.0,14.5,1
184,1006.7,31.2,28.4,26.8,25.2,79.0,78.0,4.4,220.0,16.3,1
185,1003.8,30.8,27.9,26.5,24.8,81.0,84.0,2.0,220.0,11.9,1
186,1008.5,32.0,30.7,28.4,25.8,77.0,72.0,7.7,220.0,10.0,1
187,1008.1,31.7,28.9,26.9,25.3,86.0,82.0,2.2,220.0,20.0,1
188,1008.9,31.2,28.2,26.8,26.0,87.0,83.0,3.0,220.0,14.3,1
189,1008.1,33.0,30.0,28.4,25.3,84.0,69.0,0.4,220.0,14.3,0
190,1008.4,33.0,30.0,28.1,25.5,81.0,51.0,6.9,220.0,18.0,1
191,1008.9,32.4,30.7,28.0,25.0,79.0,67.0,7.0,220.0,10.9,1
192,1006.9,33.3,30.3,26.7,26.4,79.0,88.0,3.0,200.0,20.5,1
193,1006.8,33.0,30.4,28.0,25.5,76.0,38.0,10.9,220.0,15.8,0
194,1008.1,33.9,30.0,28.0,26.4,84.0,61.0,9.1,160.0,8.6,1
195,1009.8,32.5,30.7,28.3,25.5,75.0,40.0,11.2,270.0,6.6,0
196,1005.9,34.1,30.2,28.1,25.5,78.0,41.0,8.3,10.0,13.6,0
197,1005.4,33.3,30.0,26.3,24.3,81.0,47.0,8.2,220.0,12.8,1
198,1006.5,32.7,30.3,28.3,24.1,74.0,61.0,10.0,200.0,23.5,0
199,1006.7,33.5,30.5,28.7,26.4,79.0,78.0,5.5,230.0,9.1,0
200,1001.0,32.9,30.2,28.2,25.8,78.0,38.0,11.1,230.0,16.3,1
201,1007.9,32.0,30.6,28.4,25.9,81.0,78.0,9.1,230.0,25.5,1
202,1011.4,31.2,28.3,26.3,25.3,80.0,43.0,9.5,220.0,9.8,0
203,1008.4,31.8,28.8,26.7,24.5,81.0,78.0,2.2,200.0,11.2,1
204,1008.1,32.4,29.0,26.5,26.3,84.0,83.0,6.7,190.0,15.3,1
205,1008.9,30.6,28.4,26.6,25.0,81.0,88.0,0.3,220.0,11.3,1
206,1008.9,29.4,27.2,26.6,25.6,89.0,83.0,0.3,180.0,10.0,1
207,1004.8,31.1,28.7,26.7,25.4,78.0,79.0,3.8,210.0,13.8,1
208,1004.2,31.2,28.0,26.5,25.9,89.0,84.0,0.3,220.0,17.3,1
209,1008.9,32.9,29.6,26.4,26.6,83.0,82.0,3.5,280.0,9.2,1
210,1008.1,30.6,28.6,26.3,25.3,82.0,87.0,2.0,200.0,20.5,1
211,1008.1,32.9,29.9,28.6,26.3,81.0,78.0,5.0,250.0,21.9,1
212,1006.5,30.6,27.4,24.9,25.0,84.0,88.0,2.1,190.0,21.9,1
213,1010.5,30.6,28.3,26.6,25.9,85.0,82.0,2.9,300.0,21.9,1
214,1008.4,32.7,30.4,28.1,25.2,74.0,43.0,10.0,300.0,13.8,0
215,1007.9,31.2,28.1,26.9,25.8,82.0,84.0,2.2,220.0,24.5,1
216,1008.3,33.0,30.0,27.4,24.2,75.0,43.0,9.3,220.0,23.2,0
217,1007.5,30.8,27.2,25.5,23.2,75.0,78.0,3.5,90.0,13.9,1
218,1005.6,31.6,28.3,26.4,25.4,81.0,84.0,2.5,220.0,23.7,1
219,1008.5,31.5,28.1,25.7,25.5,74.0,75.0,7.6,230.0,10.9,1
220,1007.8,30.1,28.1,26.1,25.1,84.0,83.0,2.5,230.0,20.3,0
221,1007.8,32.9,29.6,26.5,25.8,89.0,88.0,1.1,220.0,13.2,1
222,1005.9,28.6,26.8,25.4,25.4,90.0,88.0,0.5,230.0,19.2,1
223,1008.5,29.1,28.3,27.4,24.3,85.0,88.0,0.2,230.0,15.3,1
224,1005.9,31.8,28.8,26.7,25.0,79.0,67.0,6.7,240.0,7.3,1
225,1010.7,29.6,26.9,24.5,24.1,87.0,84.0,6.0,220.0,9.1,1
226,1012.0,29.6,27.1,25.8,23.8,76.0,50.0,8.8,60.0,14.3,0
227,1012.0,29.4,27.7,25.4,25.9,81.0,86.0,2.4,40.0,13.8,1
228,1011.6,33.7,29.1,26.9,23.2,85.0,84.0,5.8,230.0,11.0,1
229,1008.5,30.6,27.8,25.7,25.4,91.0,81.0,3.7,220.0,23.2,1
230,1007.3,31.8,28.1,24.5,25.4,85.0,88.0,0.6,230.0,11.7,1
231,1011.4,30.2,27.8,26.5,23.1,76.0,54.0,10.0,50.0,13.3,0
232,1010.6,30.8,28.1,26.1,25.8,84.0,58.0,9.9,100.0,29.0,0
233,1009.2,29.2,26.8,25.5,23.1,75.0,62.0,6.9,10.0,12.1,1
234,1010.9,28.6,26.1,25.4,23.4,89.0,87.0,0.3,40.0,11.7,1
235,1012.2,28.1,25.8,24.5,23.2,86.0,83.0,3.6,80.0,23.7,1
236,1011.4,31.4,28.1,26.8,23.7,75.0,56.0,10.0,70.0,32.5,0
237,1009.8,32.0,27.6,25.3,22.3,75.0,80.0,8.0,220.0,8.3,0
238,1013.0,30.4,28.7,26.4,25.3,83.0,79.0,2.0,220.0,29.8,1
239,1009.1,31.8,28.0,26.8,25.0,89.0,80.0,2.0,120.0,14.5,1
240,1013.6,28.1,26.0,25.1,22.2,79.0,51.0,2.0,80.0,17.5,0
241,1014.8,32.8,28.1,26.7,23.5,78.0,44.0,8.4,130.0,34.2,0
242,1014.4,31.3,28.1,26.0,23.3,82.0,88.0,0.2,230.0,22.9,1
243,1013.7,28.7,27.8,25.3,23.3,79.0,60.0,9.1,60.0,17.2,0
244,1013.3,29.3,27.9,25.0,25.8,83.0,84.0,3.1,110.0,9.6,0
245,1007.9,30.8,28.6,26.3,25.3,87.0,87.0,4.1,230.0,25.9,0
246,1008.1,31.1,28.1,26.2,24.5,79.0,62.0,7.7,60.0,12.5,0
247,1007.1,31.6,29.4,26.0,25.8,84.0,82.0,7.6,160.0,16.5,1
248,1005.8,30.3,27.5,25.9,22.1,77.0,86.0,1.2,220.0,11.7,0
249,1005.7,31.7,28.4,26.9,25.6,82.0,86.0,1.8,190.0,21.6,1
250,1007.6,30.6,27.4,26.4,25.3,78.0,47.0,10.0,220.0,9.2,0
251,1015.0,29.8,27.9,26.5,23.2,76.0,78.0,6.2,10.0,11.0,1
252,1014.8,31.2,28.4,26.8,26.1,86.0,77.0,3.8,30.0,12.6,1
253,1013.0,31.1,28.9,25.8,20.6,75.0,54.0,10.0,60.0,14.5,0
254,1007.7,32.0,29.1,26.7,25.0,75.0,78.0,2.3,10.0,17.2,1
255,1008.2,32.3,29.6,27.9,24.2,78.0,69.0,6.8,20.0,11.8,1
256,1010.2,29.2,27.0,25.7,25.4,79.0,67.0,4.5,80.0,44.7,1
257,1013.0,31.2,28.7,26.3,26.3,91.0,88.0,1.8,70.0,26.7,1
258,1015.1,30.3,27.7,24.7,25.6,81.0,69.0,2.6,90.0,25.1,1
259,1015.0,28.6,26.6,24.8,23.6,83.0,84.0,3.6,20.0,37.5,1
260,1013.5,28.9,26.5,24.8,20.6,76.0,54.0,4.5,80.0,16.7,1
261,1013.2,27.8,26.6,25.8,25.2,90.0,84.0,1.2,120.0,27.3,1
262,1004.9,28.4,26.2,24.7,24.4,84.0,83.0,3.6,20.0,29.8,1
263,1010.5,27.8,25.8,24.3,21.2,73.0,47.0,6.8,70.0,21.9,1
264,1017.0,28.9,25.5,24.5,23.4,82.0,66.0,2.0,70.0,34.2,0
265,1017.8,29.7,27.9,25.6,25.4,77.0,61.0,8.4,190.0,13.2,0
266,1016.4,28.7,25.6,20.5,24.7,84.0,88.0,3.1,80.0,37.9,1
267,1017.9,28.0,26.5,24.9,23.4,82.0,77.0,8.5,200.0,23.9,0
268,1008.3,22.5,20.8,19.6,18.6,73.0,21.0,10.0,60.0,38.3,0
269,1017.1,27.2,25.5,24.4,21.4,82.0,65.0,8.6,80.0,35.1,1
270,1010.3,27.8,25.4,23.7,23.5,89.0,89.0,0.1,60.0,50.6,1
271,1018.1,28.1,27.1,25.4,25.1,90.0,81.0,1.6,180.0,52.8,1
272,1017.7,28.8,26.4,24.5,16.9,79.0,43.0,9.3,80.0,24.4,0
273,1018.9,26.1,23.7,21.0,22.0,90.0,81.0,3.0,60.0,13.8,1
274,1014.8,24.5,23.1,22.7,22.9,90.0,94.0,0.0,30.0,50.7,1
275,1016.5,25.3,21.3,20.8,19.6,78.0,61.0,3.3,70.0,22.0,0
276,1016.4,28.4,26.1,25.1,23.0,85.0,84.0,6.0,80.0,15.2,1
277,1018.0,22.3,21.3,20.4,20.9,89.0,88.0,0.0,20.0,21.4,1
278,1016.0,27.4,24.9,22.2,20.3,81.0,78.0,5.8,90.0,35.3,0
279,1016.8,28.1,25.0,23.7,20.3,70.0,78.0,5.3,60.0,16.4,0
280,1017.1,29.2,25.7,23.4,19.4,78.0,65.0,8.8,60.0,27.3,0
281,1014.1,28.2,25.3,23.2,22.1,76.0,46.0,8.8,40.0,10.9,1
282,1017.7,28.2,25.6,23.4,21.6,82.0,70.0,7.6,80.0,10.0,1
283,1016.8,26.2,24.3,21.0,22.2,83.0,81.0,0.7,30.0,11.0,1
284,1019.5,27.9,25.8,24.7,23.1,83.0,88.0,0.9,80.0,10.2,1
285,1019.8,26.8,23.1,21.2,20.1,78.0,79.0,8.2,80.0,25.1,1
286,1020.6,26.3,24.3,22.5,19.3,70.0,47.0,7.1,20.0,28.3,1
287,1017.3,26.4,24.5,23.9,22.3,79.0,79.0,3.1,60.0,22.9,1
288,1019.5,25.3,23.7,22.3,18.8,79.0,83.0,3.5,70.0,15.3,1
289,1015.2,26.3,24.5,23.7,19.9,73.0,49.0,7.1,70.0,16.0,0
290,1014.9,26.3,23.3,20.1,17.4,75.0,83.0,3.0,40.0,22.0,1
291,1017.1,27.9,25.3,24.1,22.9,84.0,78.0,1.0,40.0,14.6,1
292,1017.1,26.0,24.9,22.3,22.2,81.0,84.0,2.4,70.0,12.0,1
293,1012.2,28.9,24.0,21.6,23.5,81.0,78.0,6.5,50.0,36.0,1
294,1012.5,26.3,25.7,24.4,22.8,76.0,66.0,3.2,80.0,24.9,1
295,1015.2,27.1,25.0,23.7,20.7,78.0,58.0,9.4,50.0,15.5,0
296,1017.1,25.1,24.7,23.1,21.4,85.0,81.0,0.0,80.0,25.9,1
297,1019.4,27.8,23.3,21.6,16.7,92.0,88.0,0.1,60.0,11.0,1
298,1014.7,28.4,25.5,24.0,23.4,89.0,84.0,3.1,60.0,19.8,1
299,1015.1,26.2,25.4,24.4,23.6,91.0,88.0,0.1,40.0,39.5,1
300,1016.1,29.7,26.3,24.1,23.1,86.0,70.0,5.0,70.0,16.0,1
301,1014.7,29.8,25.1,22.1,23.7,82.0,79.0,6.9,80.0,14.6,1
302,1015.2,27.8,25.5,24.4,23.6,86.0,88.0,1.2,50.0,8.7,1
303,1016.1,26.8,24.6,23.1,19.9,91.0,83.0,4.5,50.0,9.9,0
304,1017.1,29.9,25.6,24.4,19.3,93.0,88.0,0.4,40.0,9.1,1
305,1016.7,25.9,24.8,23.1,21.4,81.0,84.0,1.1,80.0,14.5,1
306,1015.3,28.9,26.6,23.5,23.5,85.0,88.0,2.0,80.0,9.8,1
307,1014.4,27.9,25.4,23.4,21.6,86.0,88.0,0.6,70.0,14.7,1
308,1015.1,26.2,25.5,23.6,20.5,91.0,81.0,0.8,40.0,16.4,1
